Component,Volume (in³),Material,Vertices,Faces,Quantity
Top flat,509.382223,Not specified,400,356,1
4x4x.375-Angle left side top_Default<As Machined>,41.445883,Not specified,2150,2128,2
Lug,4.0181302,Not specified,482,468,1
3x 1.375-Channel -3in_Default<As Machined>,5.2182842,Not specified,668,640,4
Lug_1,4.0181302,Not specified,482,468,1
Rod .75,3.9733546,Not specified,396,388,1
Rod .75_1,3.9733546,Not specified,396,388,1
4X4X375 Angle_Default<As Machined>,66.7854553,Not specified,1226,1204,4
Rod .75_2,3.9733546,Not specified,396,388,1
Rod .75_3,3.9733546,Not specified,396,388,1
Bottom flat,561.9759171,Not specified,400,356,1
Brace,72.0133644,Not specified,256,236,1
Flat bar brace,11.8125004,Not specified,24,12,1
Flat bar brace_1,11.8125004,Not specified,24,12,1
Flat bar brace_2,11.8125004,Not specified,24,12,1
Flat bar brace_3,11.8125004,Not specified,24,12,1
